cg08662619 | PCMT1
cg14054883 | SYK
cg24163575 |
cg00068503 | COL9A2
cg07999732 | ZNF775
cg13400203 |
cg00107629 | DGKZ
cg06943251 | SLMO2
cg12081932 |
cg24994127 | RALGAPA2
cg22685052 | ZBTB40
cg12308746 | DLX1
cg02909158 | ZIC5
cg12986236 |
cg03287046 | CHN2
cg27209578 |
cg26751510 | ARSH
cg23891286 | FAM20B
cg25257955 |
cg18996590 | WRN;PURG
cg05236677 |
cg23378941 | PRKCA
cg14066075 | NOXA1
cg20979153 | ZNF217
cg00175573 | RALGAPA2
cg00079302 | RPS15
cg22723818 | CRCT1
cg04971534 | SEZ6
cg02246992 | ATAD5
cg12116027 | AGAP2
cg19236703 | KCNQ2
cg10104542 |
cg01401641 | TSHZ3
cg18161327 |
cg15640375 | LPPR3
cg11982546 | LYN
cg13333304 | CLDN11
cg06160973 | LRP1
cg03847716 |
cg10946576 | KCNQ2
cg01379240 | C3orf72;FOXL2
cg06144675 | SEMA3A
cg12463851 | CXCR7
cg10274108 | TBC1D1
cg05307234 | PHF20L1
cg00892798 | NGFR
cg20663852 | ATP9A
cg00085416 | STAU2
cg18450905 | FCRLB
cg25101657 |
cg02642123 | PAX6
cg05810129 | FAM107B
cg20311846 | SHROOM3
cg02784823 | LMTK3
cg20415643 | ROS1
cg26509915 |
cg17714703 | UHRF1
cg20820767 | RNF220
cg25766247 |
cg11342941 | AGPAT4
cg07475000 | RAPGEF5
cg07408114 | SIRPA
cg02997982 | SHKBP1;SPTBN4
cg27089675 | TACC2
cg14223822 |
cg01879723 | ZBTB38
cg00849990 | E2F5
cg22476268 | OPRL1;C20orf201
cg13448605 | RSPO1
cg05684715 |
cg23145794 | RALGAPA2
cg09183316 | CTDSP2
cg19674138 | MACROD1
cg09559242 | MIR922;KIAA0226
cg10705306 |
cg00535466 | ZC3H8
cg21397588 | ATP2B4
cg04886595 | SEZ6
cg03186851 | WNT3
cg15841063 | FOXD3
cg24112733 | STARD3NL
cg24654525 | GEFT
cg03654433 |
cg06706068 | RPUSD1
cg02729344 |
cg05199362 | DUSP15
cg07380907 | GSPT1
cg09745440 | SMTN
cg03456393 | OPA1
cg15720675 | PRPF3
cg00492070 | CD47
cg17466510 |
cg22483095 | SBNO2
cg09921682 | ZPBP
cg04475708 | SFRS9;DYNLL1
cg14290855 | RASA3
cg01440570 |
cg17969271 | FBXW11
cg14582917 |
cg04222582 | DUOX2;DUOXA2
cg24874350 |
cg06928246 |
cg27169639 | CACNA1H
cg03896836 | KIF1A
cg00539925 |
cg12750917 | NEK7
cg24820672 |
cg09672452 | CCPG1;MIR628
cg01947769 |
cg11504805 | RASA3
cg23374312 | ZNF219
cg07830160 |
cg26055488 | CANT1
cg23869158 | LRCH1
cg07340580 | SLC26A4;LOC286002
cg01422467 | NHEDC2
cg14247332 | FNBP1
cg05733780 | C6orf123
cg10418578 |
cg18010718 | ZACN
cg07766612 | SLC30A2
cg01518459 | C19orf12
cg16148259 | NRG2
cg14556896 |
cg12492273 | MAD1L1
cg07066918 | MKI67
cg05130355 |
cg24181266 | DOCK6
cg08527124 | ANKRD11
cg25260176 | LRP1
cg01080368 |
cg04027043 |
cg00305996 | IRS1
cg22942950 | COL4A2
cg02071600 | HOMER1
cg23422268 |
cg14541915 | PACS1
cg15305070 |
cg11793332 | ELF1
cg22689630 | KLK13
cg10019083 | ABLIM2
cg15552843 | C22orf45;UPB1
cg06503171 | AMOTL2
cg06126421 |
cg15901783 | KCTD12
cg08813062 | SP9
cg01280881 |
cg00256155 |
cg09266979 | ZBTB40
cg19408398 | FIP1L1
cg00812293 | CLCN5
cg21582831 | NBEAL2
cg22609785 |
cg24201033 | CPT1C
cg08823554 |
cg01268752 | MATN4
cg13523014 | MYO1F
cg13407975 | CRLF1
cg00901574 | POFUT1
cg00212786 |
cg11914795 | C10orf107
cg09501687 | C5orf62
cg02857774 | FARP1
cg25143771 | AS3MT
cg24699146 | HMGCL
cg00695265 |
cg23627335 |
cg10656742 | TNFRSF19
cg15703970 | ELFN1
cg16918846 | IGFBPL1
cg13713830 |
cg08879684 | C13orf18
cg01799671 | CMIP
cg06266993 | LOC404266;HOXB5
cg18376352 | CRLF1
cg02005147 | HHIPL1
cg15775406 |
cg08818337 |
cg17285448 |
cg26181818 | ALPI
cg02927346 | RASL10B
cg14621254 | LRP1
cg15671725 | PCDH9
cg13485335 | POU2F3
cg21809624 |
cg15929771 | VPS13D
cg10967191 |
cg07438246 | SLC6A6
cg08412188 | GTF2I
cg17094144 | BAI3
cg18489009 | OPA3
cg23738734 | C12orf53
cg25493409 | SRGAP3
cg08597345 | ARRDC2
cg13826290 |
cg14258501 | LY6G6E
cg02380531 |
cg01582473 | GALNTL1
cg13137176 | FAM150B
cg07248223 | CCR7
cg17609931 |
cg27108424 |
cg11701868 | UHRF1
cg24956391 | SRC
cg22149419 | PHF12
cg26284544 | SNAPC2
cg11247615 | MUC6
cg25953688 | CUGBP1
cg11460035 |
cg17303756 |
cg08781728 | NPM2
cg04626565 | MAF
cg21634064 | SMTN
cg05463589 | IL17C
cg13939462 | PPIL1
cg10880973 | ZDHHC14
cg21020871 |
cg05355311 | TRABD
cg18556676 |
cg11746813 | HOXC4
cg00643235 | TTRAP
cg15613292 |
cg01226265 | FAM69C
cg22065923 |
cg07540629 | DMPK
cg00532474 | PSTPIP2
cg07098502 | KIAA0182
cg16458153 | COL11A2
cg02387843 | SLC2A9
cg07246713 | OPRL1
cg26383193 | ATP10D
cg20572537 | LFNG
cg05356800 | BCYRN1;CXCR3
cg14907310 |
cg25807487 | MRGPRF
cg18252102 | FARP1
cg23418465 |
cg22666828 | BRUNOL4
cg16798247 | ELMO1
cg01973676 | CUX1
cg27345762 |
cg11182257 | KIAA1598
cg08110861 | APOM
cg26154047 | MAP1D
cg14959746 | ABLIM2
cg23693683 | PTH1R
cg26033870 | MAPK14
cg02055264 |
cg00145955 | QPRT
cg00926420 |
cg09168939 | PBX1
cg16822540 | TNMD
cg02984184 | LDLRAD3
cg07766743 | EPHX2
cg11950360 | BRUNOL4
cg22797297 |
cg01900832 | ATP9A
cg13004927 | SLC47A1
cg25775494 | NR2E1
cg04908380 |
cg24809529 | CLDN15
cg23586440 | C20orf112
cg03181248 | SP9
cg16739544 |
cg15375772 | TPO
cg16294310 | TRABD
cg03673298 | APOM
cg14151158 | BTBD9
cg08622757 | MNX1
cg21275920 | OR2F1
cg12973803 |
cg23396935 | FAM3A
cg05152300 | XYLT1
cg23688411 | SFRS9;DYNLL1
cg25024515 |
cg19602315 | C17orf75
cg18287222 | MAP3K5
cg23098661 | IL17D
cg04223553 |
cg06145336 | HOXD3
cg06951626 |
cg25037394 | HMGCL
cg16332256 |
cg17806814 |
cg26144594 |
cg11155697 | LOC404266;HOXB5
cg21820890 | PLA2G12B
cg15740508 | AMPD1
cg25380351 | PSORS1C1;PSORS1C2
cg22669058 | KCNK13
cg24520975 |
cg13879776 | CLDN11
cg14804531 |
cg09381003 | SHKBP1;SPTBN4
cg10092374 | RAC3;LRRC45
cg07753203 | OLFML2A
cg17417878 | GJA5
cg06226516 |
cg07658646 | PRR4
cg14126688 | LOC404266;HOXB5
cg00178427 |
cg24193659 | CEND1
cg07007118 | CXCR7
cg09008417 | CCDC13
cg14753356 |
cg01779882 | TOP1MT
cg05957544 | AGPAT3
cg10547050 | PHF12
cg05274680 | CDH4
cg22630733 |
cg01271726 |
cg27260684 | KIAA0513
cg13180375 | PPP3CC
cg23960088 | AMACR
cg04427498 |
cg11228682 | ATXN1
cg17630294 | ABLIM2
cg01303372 | BAG3
cg04112211 |
cg16430538 | ZNF518B
cg24666876 | SRPX2
cg12236164 |
cg01294327 | LINGO3
cg04635849 | CHN2
cg27395226 | SRPK2
cg27545630 | SNORA64;SNORA10;RPS2
cg11145160 | CLDN11
cg17250296 | CACNB1
cg10059167 | OR7E156P
cg26976707 |
cg24424745 | NFE2L3
cg21028703 |
cg00461022 | FAM134B
cg09767822 | DBX1
cg10410852 | PLA2G12B
cg04314114 | IRX3
cg08560888 | TH
cg03408077 | KCNQ2
cg26094299 | DHH
cg03928367 | FER1L4
cg14318858 | CPT1C
cg02610600 | STX1A
cg20893203 |
cg24770624 |
cg05635754 | JAK3
cg04460567 | FUCA1
cg12494545 | OPA3
cg26099164 |
cg12101586 | CYP1A1
cg12664038 | BCAN
cg09029902 | ZNF217
cg21511941 | GRAMD2
cg14082886 | CD44
cg02579509 | LOC286002;SLC26A4
cg17526513 | NR2F6
cg04566826 | KCTD15
cg23213230 | TRIM13;DLEU2
cg19719207 | PRDM5
cg09955012 |
cg08380440 |
cg24119607 | CXXC5
cg10473059 |
cg21235960 | ACCN2
cg24587601 | CASS4
cg20288341 | LY6G6E;LY6G6D
cg15873320 | ADRA1D
cg17161718 | COL11A2
cg00347757 | GJB2
cg06742151 |
cg13621612 | NKD2
cg23748737 | SCARF2
cg26890706 | RNF182
cg27259633 | GDE1;CP110
cg13225596 | BAI3
cg07665487 | EFR3A
cg05675514 | FLJ22536
cg27202641 |
cg23779604 |
cg23052568 |
cg26339788 | FAM3A
cg13340269 | TMEM35
cg19308222 | EREG
cg03996020 | DNAJB6
cg26370226 |
cg04671611 | A2BP1
cg23881278 | DRD2
cg20823137 | PSPH
cg16985288 |
cg18897905 |
cg13685129 |
cg06906464 |
cg13759229 | BAHCC1
cg05992904 | FAM19A5
cg02064798 |
cg14393693 | PDE10A
cg16523372 |
cg03480346 | MFSD2B
cg12314713 | IGF2BP1
cg04579493 |
cg05021896 | TRIM9
cg19994159 |
cg12019614 | DOCK6
cg14255824 | TJP2
cg17978103 | PMEPA1
cg24155384 |
cg26996082 | GJB6
cg11691825 |
cg16477879 | ASB1
cg20934596 | SMTN
cg23845168 |
cg00178897 |
cg07728479 | ZNF853
cg02728483 | DLX2
cg12079699 | NTM
cg07774081 | GALNS
cg19286774 | HDAC4
cg09412069 | KCTD10
cg12023911 | MIR922;KIAA0226
cg06549238 | C11orf75
cg20087413 | PDLIM3
cg17401808 |
cg04267772 | CARHSP1
cg01837362 |
cg06376598 | SSH2
cg14192401 |
cg22537280 | SSBP3
cg20193057 | MTUS2
cg21215337 | CBX1
cg27196808 | WNT1
cg27357918 | PDE6B
cg26279261 | NR2F6
cg27651243 | MNX1
cg18631330 | MYADML2
cg01452189 | LCMT1
cg00156802 |
cg06254440 | LHX2
cg18676790 |
cg13990926 |
cg15122841 | HDAC4
cg01157261 | MOSPD3
cg06877486 | GTF2F2
cg12733396 | COL9A2
cg23331981 |
cg21088108 | ENGASE
cg24668736 | LOC401463
cg19830983 |
cg18495047 | C22orf45;UPB1
cg03268697 | SEC14L1
cg20726575 | SLMO2
cg06990110 |
cg21593409 | IL17C
cg06096446 | TULP4
cg03501539 |
cg21554895 |
cg19047340 | EIF6
cg14182974 | RCL1
cg19460817 | CUGBP1
cg15275890 | SLC25A17
cg08745665 | ZNF518B
cg00523161 | LPIN1
cg07915976 | HOXC4;HOXC5;HOXC6
cg27260867 |
cg18292711 | KIF5B
cg27013765 | MIR922;KIAA0226
cg11526778 | JAZF1
cg08965374 |
